pokédex_number, name, form_symbol, species, type_1, type_2, ability_1, ability_2, ability_hidden, height_m, weight_kg, catch_rate, friendship, exp, male_percent, egg_cycles, growth_rate, egg_type_1, egg_type_2, hp, attack, defense, sp_attack, sp_defense, speed
1, Bulbasaur, , Seed, Grass, Poison, Overgrow, , Chlorophyll, 0.7, 6.9, 45, 70, 64, 87.5, 20, Medium Slow, Grass, Monster, 45, 49, 49, 65, 65, 45
2, Ivysaur, , Seed, Grass, Poison, Overgrow, , Chlorophyll, 1, 13, 45, 70, 142, 87.5, 20, Medium Slow, Grass, Monster, 60, 62, 63, 80, 80, 60
3, Venusaur, , Seed, Grass, Poison, Overgrow, , Chlorophyll, 2, 100, 45, 70, 236, 87.5, 20, Medium Slow, Grass, Monster, 80, 82, 83, 100, 100, 80
3, Mega Venusaur, m, Seed, Grass, Poison, Thick Fat, , , 2.4, 155.5, 45, 70, 281, 87.5, 20, Medium Slow, Grass, Monster, 80, 100, 123, 122, 120, 80
4, Charmander, , Lizard, Fire, , Blaze, , Solar Power, 0.6, 8.5, 45, 70, 62, 87.5, 20, Medium Slow, Dragon, Monster, 39, 52, 43, 60, 50, 65
5, Charmeleon, , Flame, Fire, , Blaze, , Solar Power, 1.1, 19, 45, 70, 142, 87.5, 20, Medium Slow, Dragon, Monster, 58, 64, 58, 80, 65, 80
6, Charizard, , Flame, Fire, Flying, Blaze, , Solar Power, 1.7, 90.5, 45, 70, 240, 87.5, 20, Medium Slow, Dragon, Monster, 78, 84, 78, 109, 85, 100
6, Mega Charizard X, mx, Flame, Fire, Dragon, Tough Claws, , , 1.7, 110.5, 45, 70, 285, 87.5, 20, Medium Slow, Dragon, Monster, 78, 130, 111, 130, 85, 100
6, Mega Charizard Y, my, Flame, Fire, Flying, Drought, , , 1.7, 100.5, 45, 70, 285, 87.5, 20, Medium Slow, Dragon, Monster, 78, 104, 78, 159, 115, 100
7, Squirtle, , Tiny Turtle, Water, , Torrent, , Rain Dish, 0.5, 9, 45, 70, 63, 87.5, 20, Medium Slow, Monster, Water 1, 44, 48, 65, 50, 64, 43
8, Wartortle, , Turtle, Water, , Torrent, , Rain Dish, 1, 22.5, 45, 70, 142, 87.5, 20, Medium Slow, Monster, Water 1, 59, 63, 80, 65, 80, 58
9, Blastoise, , Shellfish, Water, , Torrent, , Rain Dish, 1.6, 85.5, 45, 70, 239, 87.5, 20, Medium Slow, Monster, Water 1, 79, 83, 100, 85, 105, 78
